VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11379762291908                       0                       0                       0                       0                       0       -4498.60374145508       -2552.85706787109   1.83763559562067E-005      0.0183948330814019        299.082779693603         301176.36015625       0.330960275232792                    1007       0.357260265573859    0.000250000011874363    0.000295793692930601        29.8734970092773 
                    7.9                    0.15    0.000233488992661774        1.11482546577371        28.5245922888845   2.47834185341721E-008   7.86448420125284E-005        28.5245922888845      0.0824690277503153       -4498.60374145508       -2480.18305984303   1.83632955685892E-005     0.00980482885723133        298.700905033363        301771.826843286       0.437215013418351                    1007       0.463515014137421    0.000370958899841344    0.000390758209188467        15.9232299229426 
                    7.9                    0.15    0.000466977985323549        1.11585329681873        57.0490083471532   4.92136839698531E-008    0.000157213549249156        57.0490083471532       0.164937544243679       -4498.60374145508        -2407.5098096444   1.83502353011051E-005     0.00121491781812838        298.319035411883        302367.286306757       0.543469861826776                    1007       0.569769873907982    0.000491917787808325    0.000485722823475179         1.9730081854142 
                    7.9                    0.15    0.000700466977985324        1.11692916886568        62.3679513015572    5.7124618873552E-008    0.000240596606278799        62.3679513015572         0.1803932555139       -4498.60355887888       -2304.53717737501   1.83365696710484E-005                       0         298.09476955474        302281.090455206       0.744839077159552                    1007       0.771139098355921    0.000709733488051851    0.000665695305468549   1.22433330622755E-005 
                    7.9                    0.15    0.000933955970647098        1.11801289102003        63.8642107165473   6.23224557457941E-008    0.000324440218086041        63.8642107165473       0.184809804775012       -4498.60334622772       -2196.57839822055   1.83228052465451E-005                       0        297.896482783355         302082.61765165       0.961878007014448                    1007       0.988178051372225     0.00094350397101644    0.000859672497570821   3.72681481701259E-006 
                    7.9                    0.15     0.00116744496330887        1.11859939282162        65.0048547223592   6.50358072421296E-008    0.000409084502991116        65.0048547223592       0.188158493241193       -4498.60319740309       -2112.90000528197   1.83153605754802E-005                       0         297.78208374866        301997.452852416        1.18252607410622                    1007          1.208826118464     0.00117727364688817     0.00105687533705132                       0 
                    7.9                    0.15     0.00140093395597065        1.11879893136022        65.8687453313447   6.65179642538774E-008    0.000493466118868241        65.8687453313447        0.19067612550572       -4498.60319519043       -2048.12452938144   1.83128345159319E-005                       0        297.732972900634        302000.461225597        1.40599498612519                    1007        1.43229498314356     0.00141104269479285     0.00125659926432663                       0 
                    7.9                    0.15     0.00163442294863242        1.11899238455576        66.7057069309474   6.76486300325429E-008    0.000578486943910202        66.7057069309474       0.193115357668375       -4498.60312791968       -1985.22519297875   1.83103855233325E-005                       0        297.685223737029        302003.464722744        1.62861583175049                    1007        1.65491581579081     0.00164481176008533     0.00145556525634965                       0 
                    7.9                    0.15      0.0018679119412942        1.11913117489319        67.3012074069372   6.77388271648967E-008    0.000665979445365866        67.3012074069372       0.194851595233226         -4498.602991638       -1939.16753664178   1.83086290184016E-005                       0        297.649673331934        302006.388850503        1.84370797909029                    1007        1.87000801778571     0.00187858098114781     0.00164780253984758                       0 
                    7.9                    0.15     0.00210140093395597         1.1192699553214        67.8966939307336   6.79246098788961E-008    0.000753237207462483        67.8966939307336       0.196587790683858       -4498.60281476813       -1893.11193000886   1.83068725134708E-005                       0        297.614122926839        302009.312978263        2.05880923301083                    1007        2.08510935608904      0.0021123502022103     0.00184004798104024                       0 
