VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11233493238688                       0                       0                       0                       0                       0       -4495.36514892578       -4179.98029785156   1.83954971134881E-005     0.00346017429837957        299.486220932007        301582.640234375      0.0447857467923313                    1007      0.0710857467725873        451302.941015625                       0   4.00269836518419E-005        21.3784857988358 
                    7.9                    0.15   1.00033344448149E-006        1.11233687554997       0.140141098846678   6.73011740812925E-011    9.4079523942261E-008       0.140141098846678    0.000404568426944435       -4495.36514892578       -4179.31929565715   1.83954723123955E-005     0.00344286763640531         299.48526610018        301584.121509383      0.0464755720198219                    1007      0.0727755719907615        450938.730940392       0.168440231445315    4.1537254437659E-005         21.271557704949 
                    7.9                    0.15   2.00066688896299E-006        1.11233881871306       0.280282197693357   1.34602348162584E-010   1.88159047884522E-007       0.280282197693357    0.000809136853888869       -4495.36514892578       -4178.65829346273   1.83954475113029E-005     0.00342556097443105        299.484311268353        301585.602784392      0.0481653972473124                    1007      0.0744653972089357        450574.520865158        0.33688046289063   4.30475252234761E-005        21.1646296110622 
                    7.9                    0.15   3.00100033344448E-006        1.11234076187616       0.420423296540035   2.01903522243876E-010   2.82238571826783E-007       0.420423296540035      0.0012137052808333       -4495.36514892578       -4177.99729126832   1.83954227102103E-005     0.00340825431245679        299.483356436526          301587.0840594       0.049855222474803                    1007        0.07615522242711        450210.310789925       0.505320694335945   4.45577960092932E-005        21.0577015171754 
                    7.9                    0.15   4.00133377792597E-006        1.11234270503925       0.560564395386714   2.69204696325168E-010   3.76318095769044E-007       0.560564395386714     0.00161827370777774       -4495.36514892578        -4177.3362890739   1.83953979091177E-005     0.00339094765048253        299.482401604699        301588.565334408      0.0515450477022935                    1007      0.0778450476452842        449846.100714692       0.673760925781259   4.60680667951104E-005        20.9507734232886 
                    7.9                    0.15   5.00166722240747E-006        1.11234464820235       0.700705494233392    3.3650587040646E-010   4.70397619711305E-007       0.700705494233392     0.00202284213472217       -4495.36514892578       -4176.67528687948   1.83953731080251E-005     0.00337364098850827        299.481446772871        301590.046609417      0.0532348729297841                    1007      0.0795348728634584        449481.890639458       0.842201157226574   4.75783375809275E-005        20.8438453294018 
                    7.9                    0.15   6.00200066688896E-006        1.11234659136544        0.84084659308007   4.03807044487752E-010   5.64477143653566E-007        0.84084659308007     0.00242741056166661       -4495.36514892578       -4176.01428468506   1.83953483069325E-005     0.00335633432653401        299.480491941044        301591.527884425      0.0549246981572747                    1007      0.0812246980816327        449117.680564225        1.01064138867189   4.90886083667446E-005         20.736917235515 
                    7.9                    0.15   7.00233411137046E-006        1.11234853452854       0.980987691926749   4.71108218569045E-010   6.58556667595827E-007       0.980987691926749     0.00283197898861104       -4495.36514892578       -4175.35328249065   1.83953235058399E-005     0.00333902766455974        299.479537109217        301593.009159433      0.0566145233847652                    1007      0.0829145232998069        448753.470488992         1.1790816201172   5.05988791525617E-005        20.6299891416282 
                    7.9                    0.15   8.00266755585195E-006        1.11235047769163        1.12112879077343   5.38409392650336E-010   7.52636191538088E-007        1.12112879077343     0.00323654741555548       -4495.36514892578       -4174.69228029623   1.83952987047473E-005     0.00332172100258548         299.47858227739        301594.490434442      0.0583043486122558                    1007      0.0846043485179811        448389.260413758        1.34752185156252   5.21091499383789E-005        20.5230610477414 
                    7.9                    0.15   9.00300100033344E-006        1.11235242085472        1.26126988962011   6.05710566731628E-010   8.46715715480349E-007        1.26126988962011     0.00364111584249991       -4495.36514892578       -4174.03127810182   1.83952739036547E-005     0.00330441434061122        299.477627445563         301595.97170945      0.0599941738397463                    1007      0.0862941737361553        448025.050338525        1.51596208300783    5.3619420724196E-005        20.4161329538546 
                    7.9                    0.15   1.00033344448149E-005        1.11235436401782        1.40141098846678    6.7301174081292E-010    9.4079523942261E-007        1.40141098846678     0.00404568426944435       -4495.36514892578        -4173.3702759074   1.83952491025621E-005     0.00328710767863696        299.476672613736        301597.452984458      0.0616839990672369                    1007      0.0879839989543295        447660.840263292        1.68440231445315   5.51296915100131E-005        20.3092048599678 
                    7.9                    0.15   1.10036678892964E-005        1.11235630718091        1.54155208731346   7.40312914894212E-010   1.03487476336487E-006        1.54155208731346     0.00445025269638878       -4495.36514892578       -4172.70927371298   1.83952243014695E-005      0.0032698010166627        299.475717781909        301598.934259467      0.0633738242947274                    1007      0.0896738241725037        447296.630188058        1.85284254589846   5.66399622958302E-005        20.2022767660811 
                    7.9                    0.15   1.20040013337779E-005        1.11235825034401        1.68169318616014   8.07614088975504E-010   1.12895428730713E-006        1.68169318616014     0.00485482112333321       -4495.36514892578       -4172.04827151857   1.83951995003769E-005     0.00325249435468844        299.474762950082        301600.415534475       0.065063649522218                    1007       0.091363649390678        446932.420112825        2.02128277734378   5.81502330816473E-005        20.0953486721943 
                    7.9                    0.15   1.30043347782594E-005         1.1123601935071        1.82183428500682   8.74915263056796E-010   1.22303381124939E-006        1.82183428500682     0.00525938955027765       -4495.36514892578       -4171.38726932415   1.83951746992843E-005     0.00323518769271418        299.473808118255        301601.896809483      0.0667534747497086                    1007      0.0930534746088522        446568.210037592        2.18972300878909   5.96605038674645E-005        19.9884205783075 
                    7.9                    0.15   1.40046682227409E-005        1.11236213667019         1.9619753838535   9.42216437138088E-010   1.31711333519165E-006         1.9619753838535     0.00566395797722209       -4495.36514892578       -4170.72626712974   1.83951498981917E-005     0.00321788103073992        299.472853286428        301603.378084492      0.0684432999771991                    1007      0.0947432998270264        446203.999962358        2.35816324023441   6.11707746532816E-005        19.8814924844207 
                    7.9                    0.15   1.50050016672224E-005        1.11236407983329        2.10211648270018   1.00951761121938E-009   1.41119285913391E-006        2.10211648270018     0.00606852640416652       -4495.36514892578       -4170.06526493532   1.83951250970991E-005     0.00320057436876566        299.471898454601          301604.8593595      0.0701331252046896                    1007      0.0964331250452006        445839.789887125        2.52660347167972   6.26810454390987E-005        19.7745643905339 
                    7.9                    0.15   1.60053351117039E-005        1.11236602299638        2.24225758154685   1.07681878530067E-009   1.50527238307618E-006        2.24225758154685     0.00647309483111095       -4495.36514892578        -4169.4042627409   1.83951002960065E-005      0.0031832677067914        299.470943622773        301606.340634508      0.0718229504321802                    1007      0.0981229502633749        445475.579811892        2.69504370312504   6.41913162249158E-005        19.6676362966471 
                    7.9                    0.15   1.70056685561854E-005        1.11236796615948        2.38239868039353   1.14411995938196E-009   1.59935190701844E-006        2.38239868039353     0.00687766325805539       -4495.36514892578       -4168.74326054649   1.83950754949139E-005     0.00316596104481714        299.469988790946        301607.821909517      0.0735127756596708                    1007      0.0998127754815491        445111.369736658        2.86348393457035   6.57015870107329E-005        19.5607082027603 
                    7.9                    0.15   1.80060020006669E-005        1.11236990932257        2.52253977924021   1.21142113346326E-009    1.6934314309607E-006        2.52253977924021     0.00728223168499982       -4495.36514892578       -4168.08225835207   1.83950506938213E-005     0.00314865438284287        299.469033959119        301609.303184525      0.0752026008871613                    1007       0.101502600699723        444747.159661425        3.03192416601567     6.721185779655E-005        19.4537801088735 
                    7.9                    0.15   1.90063354451484E-005        1.11237185248567        2.66268087808689   1.27872230754455E-009   1.78751095490296E-006        2.66268087808689     0.00768680011194426       -4495.36514892578       -4167.42125615765   1.83950258927287E-005     0.00313134772086861        299.468079127292        301610.784459533      0.0768924261146519                    1007       0.103192425917898        444382.949586192        3.20036439746098   6.87221285823671E-005        19.3468520149867 
