VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11252128630877                       0                       0                       0                       0                       0       -4496.98671264648       -3783.29804992676   1.83928768819897E-005       0.013904044427909        299.430984115601                  301527       0.154206816293299                    1007       0.180506814457476         540845.55234375                       0    0.000137821383759729        17.2926409959793 
                    7.9                    0.15    0.000233488992661774        1.11370711388911        40.1447798992297   1.39583208586202E-009   4.29114144931368E-005        40.1447798992297       0.115945927421454       -4496.98671264648       -3587.79338377166   1.83777600004563E-005                       0        299.013301664578         302019.56086478       0.332383638158266                    1007       0.358683651223604        343107.751568768         27.714656423113    0.000297065821244524   7.33906157965908E-006 
                    7.9                    0.15    0.000466977985323549        1.11491674092933        45.4711449765651  -4.01334708208396E-009   9.50452490818525E-005        45.4711449765651       0.131399853052515       -4496.98671264648       -3336.31546469564   1.83623460293984E-005                       0        298.767609341113        301915.646065379        0.64556764603785                    1007       0.671867659103188        150326.809961668        27.8128725327674     0.00057697208702751                       0 
                    7.9                    0.15    0.000700466977985324        1.11541532191698         48.538145401371  -7.72232270203288E-009    0.000148627099285968         48.538145401371       0.140293817313277       -4496.98667797643       -3175.08785104096   1.83560025747354E-005                       0        298.642883806192        301923.919860937       0.974405194762806                    1007        1.00070520782814         92206.067827278        27.5088857736448    0.000870868595985132                       0 
                    7.9                    0.15    0.000933955970647098        1.11577754259523          50.68419235702   -1.0127135646895E-008    0.000204906709037137          50.68419235702       0.146520342093327       -4496.98647082336       -3055.41165752805   1.83513967774351E-005                       0        298.549564583391        301932.071197922        1.31107099640258                    1007        1.33737100890212        65690.5637985191        27.3188005362806     0.00117176155331729                       0 
                    7.9                    0.15     0.00116744496330887        1.11605251098131        52.2544828101744  -1.16389234314975E-008    0.000263910780170533        52.2544828101744       0.151078550697387       -4496.98627063461       -2963.70152745613   1.83479031262437E-005                       0        298.477728786157        301938.965496058        1.65090957305396                    1007         1.6772096344277        52001.4536027352        27.1948650603643     0.00147549018069571                       0 
                    7.9                    0.15     0.00140093395597065        1.11628416324739        53.5481262021962  -1.27328909564882E-008    0.000324682610717794        53.5481262021962        0.15483483188719       -4496.98622436523       -2886.14005008127   1.83449600105071E-005                       0        298.416873008311        301944.983439175        1.99090979713774                    1007        2.01720986682749        42725.4021501472         27.096376986071     0.00177936330841884                       0 
                    7.9                    0.15     0.00163442294863242        1.11648739536386        54.6628547217382  -1.35749743700224E-008     0.00038680967508923        54.6628547217382       0.158072397352819       -4496.98610353825       -2817.91981464808   1.83423787812993E-005                       0         298.36330194116        301950.386689457        2.33038034132286                    1007        2.35668038151384        35950.9712704654         27.012471102442     0.00208276300499075                       0 
                    7.9                    0.15      0.0018679119412942        1.11666607681591        55.6250657882192  -1.42182305654372E-008    0.000450249031238915        55.6250657882192       0.160867708509186       -4496.98578310076       -2757.81551940765   1.83401107082197E-005                       0        298.316087861184        301955.226577309        2.66889223749222                    1007        2.69519220243162         31027.265827317        26.9394987239534     0.00238530584706043                       0 
                    7.9                    0.15     0.00210140093395597        1.11682006655167        56.4378813917411  -1.47095957607105E-008    0.000515422135410273        56.4378813917411       0.163229684226109       -4496.98573608399       -2705.92373522403    1.8338155914064E-005                       0          298.2753088609         301959.45080169        3.00509141146168                    1007        3.03139142303691        27537.6264027849        26.8748428938648     0.00268578179180701                       0 
                    7.9                    0.15     0.00233488992661774        1.11696590455204        57.2019637754569  -1.51555766163195E-008    0.000581250187414044        57.2019637754569       0.165450286647221       -4496.98568942589       -2656.74645077562   1.83363047607055E-005                       0        298.236661134459        301963.467067395        3.34025974137856                    1007        3.36655982245945        24474.3977076074        26.8126140606777     0.00298533644323341                       0 
                    7.9                    0.15     0.00256837891927952        1.11709349207834          57.85840032773  -1.55240552291546E-008    0.000648719555382043          57.85840032773       0.167358568183227       -4496.98542481905       -2613.65306731642   1.83346861800728E-005                       0        298.202800109455        301967.006448478        3.67247143954501                    1007        3.69877158820741        22251.1426574832        26.7550468703345     0.00328224863512057                       0 
                    7.9                    0.15     0.00280186791194129        1.11721533468089         58.481480127741  -1.58698144192755E-008    0.000716857562029018         58.481480127741       0.169170044333091       -4496.98516819684       -2572.49120869375   1.83331404617617E-005                       0        298.170458022211        301970.395721621        4.00325027954483                    1007        4.02955043255404         20243.706233791        26.6986019745048     0.00357788018394383                       0 
                    7.9                    0.15     0.00303535690460307        1.11732556557299        59.0371434689934  -1.61808926807209E-008    0.000786325161946089        59.0371434689934       0.170785869353827       -4496.98492771117       -2535.23334097861    1.8331741994771E-005                       0        298.141186026105        301973.482024309        4.33113459161698                    1007        4.35743462720155         18672.451892098        26.6444293594895     0.00387092469942033                       0 
                    7.9                    0.15     0.00326884589726484          1.117431569121        59.5688523291084  -1.64751223471824E-008    0.000856409655443039        59.5688523291084       0.172332159598625       -4496.98469380872       -2499.39315123655   1.83303973551084E-005                       0        298.113029901652        301976.449815588        4.65751834132202                    1007        4.68381829478272        17231.6557261598        26.5908800200805     0.00416262813688208                       0 
                    7.9                    0.15     0.00350233488992662        1.11752773469025        60.0448288885718  -1.67442217994339E-008    0.000927901994678022        60.0448288885718         0.1737166701996        -4496.9844752215       -2466.85157462511   1.83291779623191E-005                       0        298.087468858535        301979.142419522        4.98041324851496                    1007        5.00671320197565        16094.3779808123        26.5387858034729     0.00445121353695664                       0 
                    7.9                    0.15     0.00373582388258839        1.11762313106584        60.5165109707841  -1.70061248385442E-008    0.000999541979356779        60.5165109707841       0.175088711564728       -4496.98425796269        -2434.5691685557    1.8327968306976E-005                       0        298.062112532385        301981.814374357        5.30293193311852                    1007        5.32923188657922        14977.0210247507        26.4867753045044     0.00473946268770323                       0 
                    7.9                    0.15     0.00396931287525017        1.11770778517027        60.9281986768854  -1.72300901450455E-008     0.00107311830058669        60.9281986768854       0.176286555014265       -4496.98405925598       -2405.90845762566   1.83268949587078E-005                       0        298.039615206882        301984.192496282        5.62020775452746                    1007        5.64650770798815        14137.9417962925        26.4359576154107     0.00502302598606203                       0 
                    7.9                    0.15     0.00420280186791194        1.11779243927469        61.3398849524753  -1.74587059093433E-008     0.00114668438017866        61.3398849524753       0.177484394365983       -4496.98386054927       -2377.24790843878   1.83258216104396E-005                       0        298.017118262849        301986.570618206        5.93748472034557                    1007        5.96378467380627        13298.8667914671        26.3851418336655     0.00530659030305489                       0 
                    7.9                    0.15     0.00443629086057372        1.11787123673488        61.7194332425469  -1.76567189998359E-008     0.00122156716973017        61.7194332425469       0.178588903297209       -4496.98367284476       -2350.56298254577    1.8324822870133E-005                       0        297.996172848322        301988.781829201        6.25095588821373                    1007        6.27725584167443        12587.9392320642        26.3347955793812     0.00558675315269344                       0 
                    7.9                    0.15     0.00466977985323549        1.11794628078855        62.0783907208654  -1.78427624223731E-008     0.00129727528938959        62.0783907208654       0.179633615646265       -4496.98349218855       -2325.14396302837   1.83238719255985E-005                       0        297.976221627737        301990.886112776        6.56199125320158                    1007        6.58829120666227        11959.1124316754        26.2847535079266     0.00586473897890028                       0 
                    7.9                    0.15     0.00490326884589727        1.11802132633234        62.4373496773792  -1.80241498582032E-008     0.00137299503602927        62.4373496773792       0.180678332093141       -4496.98331153234       -2299.72477566429    1.8322920981064E-005                       0        297.956270407153        301992.990396352         6.8730250625082                    1007        6.89932501596889        11330.2821156616         26.234709266863     0.00614272341394403                       0 
                    7.9                    0.15     0.00513675783855904        1.11808901811097        62.7565719505284   -1.8164125752491E-008     0.00145073819637846        62.7565719505284        0.18160762157023        -4496.9831457338       -2276.78990511928    1.8322063503547E-005                       0        297.938271883078        301994.893020423        7.17783124102693                    1007        7.20413119448762        10838.7160304293        26.1850659354991     0.00641514210302203                       0 
                    7.9                    0.15     0.00537024683122081        1.11815595321339        63.0717039348454  -1.83043541808052E-008     0.00152867638202037        63.0717039348454       0.182525029367313       -4496.98298146407       -2254.11083281032     1.832121566619E-005                       0        297.920474665977        301996.774894451        7.48199868683651                    1007         7.5082986402972        10361.2769477692        26.1354663120244     0.00668698994770017                       0 
                    7.9                    0.15     0.00560373582388259        1.11822288831582        63.3868374450414  -1.84400689752084E-008     0.00160662774442151        63.3868374450414       0.183442441821009       -4496.98281719434       -2231.43158960292   1.83203678060956E-005                       0        297.902677067406        301998.656768479        7.78616406436491                    1007         7.8124640178256        9883.83486217931        26.0858642328384      0.0069588359413747                       0 
                    7.9                    0.15     0.00583722481654436        1.11828334174482        63.6675502395407  -1.85326276996407E-008     0.00168676227929178        63.6675502395407       0.184259852815127       -4496.98252725287       -2210.93854391335   1.83196020885713E-005                       0        297.886607896732        302000.343672963        8.08330782618331                    1007          8.109607779644        9510.04240748333        26.0364632886088     0.00722440622249688                       0 
                    7.9                    0.15     0.00607071380920614        1.11834333914111        63.9458396658927  -1.86263909781898E-008     0.00176703549609468        63.9458396658927       0.185070223138672       -4496.98222846949       -2190.59949617466    1.8318842127635E-005                       0         297.87066033349        302002.016859926        8.37996026055941                    1007        8.40626022594103        9143.54501926197        25.9870792613373     0.00748953737153896                       0 
                    7.9                    0.15     0.00630420280186791         1.1184033365374         64.224130713491  -1.87159133602161E-008     0.00184732363297626         64.224130713491       0.185880598305094        -4496.9819296861       -2170.26026533051   1.83180821894361E-005                       0        297.854712770249        302003.690046889        8.67661000080556                    1007        8.70290996618719        8777.04506756403        25.9376924684102     0.00775466611078387                       0 
                    7.9                    0.15     0.00653769179452969        1.11845936898421        64.4816072463291  -1.87757334580862E-008      0.0019292502452394        64.4816072463291       0.186630486279397       -4496.98169412447       -2151.26274186646   1.83173727142017E-005                       0        297.839815642528        302005.250935929        8.96781186859308                    1007        8.99411183397471        8465.47861281508        25.8883400810944     0.00801492601782163                       0 
                    7.9                    0.15     0.00677118078719146        1.11851341125317        64.7286360833309  -1.88206447082562E-008     0.00201199927842463        64.7286360833309       0.187350013143073       -4496.98149029654       -2132.93867876266   1.83166885684891E-005                       0        297.825445773353        302006.755457834        9.25627921602021                    1007        9.28257918140183        8181.48563138353        25.8390049634277      0.0082727420495846                       0 
                    7.9                    0.15     0.00700466977985324        1.11856745352213        64.9756632037189  -1.88694100088383E-008     0.00209473141829148        64.9756632037189       0.188069535163872       -4496.98129257212       -2114.61480486786   1.83160044455139E-005                       0        297.811075904179         302008.25997974        9.54475003243766                    1007        9.57104997397742        7897.49488994222        25.7896729690443     0.00853056117799513                       0 
                    7.9                    0.15     0.00723815877251501        1.11862112157118        65.2207535794032   -1.8911580386267E-008     0.00217766906260842        65.2207535794032       0.188783428187101       -4496.98109007724       -2096.41743743114   1.83153250244834E-005                       0        297.796805894496         302009.75408857        9.83257378500637                    1007        9.85887371779718        7618.00511286706        25.7403326842765      0.0087878019817365                       0 
                    7.9                    0.15     0.00747164776517678        1.11867000005867        65.4410339978814  -1.89186709120583E-008     0.00226302070098552        65.4410339978814       0.189425214875713       -4496.98090464382       -2079.84162109283   1.83147060736611E-005                       0        297.783813965359        302011.114922643        10.1121603028404                    1007        10.1384601149063        7396.15089775627        25.6909262668736      0.0090376805634558                       0 
                    7.9                    0.15     0.00770513675783856        1.11871887705604        65.6613126043784  -1.89291235040306E-008      0.0023483531861318        65.6613126043784       0.190066996162653       -4496.98071310688       -2063.26600464466   1.83140871228389E-005                       0        297.770822417692        302012.475756717        10.3917512075762                    1007        10.4180509108382        7174.29865408102        25.6415233780656     0.00928756308001298                       0 
                    7.9                    0.15     0.00793862575050033        1.11876775554352        65.8815930228566  -1.89362140298219E-008      0.0024337048245089        65.8815930228566       0.190708782851264       -4496.98052767346       -2046.69018830635   1.83134681720167E-005                       0        297.757830488556        302013.836590791        10.6713377254103                    1007        10.6976373079473        6952.44443897023        25.5921169606628     0.00953744166173228                       0 
                    7.9                    0.15     0.00817211474316211        1.11881608220323        66.0990467726819   -1.8939687811392E-008     0.00251939567466354        66.0990467726819       0.191342352112143       -4496.98033048785        -2030.3015901219   1.83128562653355E-005                       0        297.744985551254        302015.180623139        10.9497454855806                    1007        10.9760449891591        6736.39366424538        25.5426896285003     0.00978626676651341                       0 
                    7.9                    0.15     0.00840560373582388        1.11886046282583        66.2962874418866  -1.89172988012786E-008     0.00260751217700766        66.2962874418866       0.191917159788406        -4496.9800492641       -2015.25176067977   1.83122947302435E-005                       0        297.733191730356        302016.404508887        11.2197241277279                    1007        11.2460238510125        6561.84241521739        25.4931127380515       0.010027558616818                       0 
