VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11340290606022                       0                       0                       0                       0                       0       -4497.50758056641       -3577.01562194824   1.83815509672058E-005     0.00804132758639753        299.192245864868        301286.578515625      0.0685831912793219                    1007      0.0948831894434989   9.99999974737875E-005   6.12958004239772E-005        15.6805625915527 
                    7.9                    0.15   1.00033344448149E-006        1.11340720409372       0.219989797599109   5.39569411713471E-011   2.72983115218923E-007       0.219989797599109    0.000635526798573458       -4497.50758056641       -3576.17364512231   1.83814962292111E-005     0.00800110743813983        299.190340856697        301290.284047677      0.0694725966179464                    1007       0.095772594744858    0.000100525396956934   6.20907009343845E-005        15.6021336300283 
                    7.9                    0.15   2.00066688896299E-006        1.11341150212721       0.439979595198218   1.07913882342694E-010   5.45966230437846E-007       0.439979595198218     0.00127105359714692       -4497.50758056641       -3575.33166829637   1.83814414912164E-005     0.00796088728988213        299.188435848525         301293.98957973      0.0703620019565708                    1007      0.0966620000462171     0.00010105079644008   6.28856014447917E-005        15.5237046685039 
                    7.9                    0.15   3.00100033344448E-006        1.11341580016071       0.659969392797327   1.61870823514041E-010    8.1894934565677E-007       0.659969392797327     0.00190658039572037       -4497.50758056641       -3574.48969147044   1.83813867532217E-005     0.00792066714162443        299.186530840353        301297.695111782      0.0712514072951953                    1007      0.0975514053475763    0.000101576195923226   6.36805019551989E-005        15.4452757069795 
                    7.9                    0.15   4.00133377792597E-006         1.1134200981942       0.879959190396436   2.15827764685388E-010   1.09193246087569E-006       0.879959190396436     0.00254210719429383       -4497.50758056641       -3573.64771464451   1.83813320152269E-005     0.00788044699336673        299.184625832182        301301.400643834      0.0721408126338198                    1007      0.0984408106489354    0.000102101595406373   6.44754024656062E-005        15.3668467454551 
                    7.9                    0.15   5.00166722240747E-006         1.1134243962277        1.09994898799554   2.69784705856735E-010   1.36491557609462E-006        1.09994898799554     0.00317763399286729       -4497.50758056641       -3572.80573781857   1.83812772772322E-005     0.00784022684510902         299.18272082401        301305.106175887      0.0730302179724442                    1007      0.0993302159502946    0.000102626994889519   6.52703029760134E-005        15.2884177839307 
                    7.9                    0.15   6.00200066688896E-006         1.1134286942612        1.31993878559465   3.23741647028081E-010   1.63789869131354E-006        1.31993878559465     0.00381316079144075       -4497.50758056641       -3571.96376099264   1.83812225392375E-005     0.00780000669685132        299.180815815838        301308.811707939      0.0739196233110687                    1007       0.100219621251654    0.000103152394372665   6.60652034864207E-005        15.2099888224064 
                    7.9                    0.15   7.00233411137046E-006        1.11343299229469        1.53992858319376   3.77698588199428E-010   1.91088180653246E-006        1.53992858319376     0.00444868759001421       -4497.50758056641        -3571.1217841667   1.83811678012427E-005     0.00775978654859362        299.178910807667        301312.517239992      0.0748090286496932                    1007       0.101109026553013    0.000103677793855812   6.68601039968279E-005         15.131559860882 
                    7.9                    0.15   8.00266755585195E-006        1.11343729032819        1.75991838079287   4.31655529370775E-010   2.18386492175139E-006        1.75991838079287     0.00508421438858766       -4497.50758056641       -3570.27980734077    1.8381113063248E-005     0.00771956640033592        299.177005799495        301316.222772044      0.0756984339883177                    1007       0.101998431854372    0.000104203193338958   6.76550045072352E-005        15.0531308993576 
                    7.9                    0.15   9.00300100033344E-006        1.11344158836169        1.97990817839198   4.85612470542122E-010   2.45684803697031E-006        1.97990817839198     0.00571974118716112       -4497.50758056641       -3569.43783051484   1.83810583252533E-005     0.00767934625207822        299.175100791323        301319.928304096      0.0765878393269421                    1007       0.102887837155731    0.000104728592822104   6.84499050176424E-005        14.9747019378332 
                    7.9                    0.15   1.00033344448149E-005        1.11344588639518        2.19989797599109   5.39569411713469E-010   2.72983115218923E-006        2.19989797599109     0.00635526798573458       -4497.50758056641        -3568.5958536889   1.83810035872585E-005     0.00763912610382052        299.173195783151        301323.633836148      0.0774772446655666                    1007        0.10377724245709     0.00010525399230525   6.92448055280496E-005        14.8962729763088 
                    7.9                    0.15   1.10036678892964E-005        1.11345018442868         2.4198877735902   5.93526352884816E-010   3.00281426740816E-006         2.4198877735902     0.00699079478430804        -4497.5075805664       -3567.75387686297   1.83809488492638E-005     0.00759890595556282         299.17129077498        301327.339368201       0.078366650004191                    1007       0.104666647758449    0.000105779391788397   7.00397060384569E-005        14.8178440147844 
                    7.9                    0.15   1.20040013337779E-005        1.11345448246218        2.63987757118931   6.47483294056163E-010   3.27579738262708E-006        2.63987757118931     0.00762632158288149        -4497.5075805664       -3566.91190003703   1.83808941112691E-005     0.00755868580730512        299.169385766808        301331.044900253      0.0792560553428155                    1007       0.105556053059809    0.000106304791271543   7.08346065488641E-005          14.73941505326 
                    7.9                    0.15   1.30043347782594E-005        1.11345878049567        2.85986736878842    7.0144023522751E-010     3.548780497846E-006        2.85986736878842     0.00826184838145495       -4497.50758056641        -3566.0699232111   1.83808393732743E-005     0.00751846565904742        299.167480758636        301334.750432306        0.08014546068144                    1007       0.106445458361168    0.000106830190754689   7.16295070592713E-005        14.6609860917356 
                    7.9                    0.15   1.40046682227409E-005        1.11346307852917        3.07985716638753   7.55397176398857E-010   3.82176361306493E-006        3.07985716638753     0.00889737518002841       -4497.50758056641       -3565.22794638517   1.83807846352796E-005     0.00747824551078972        299.165575750465        301338.455964358      0.0810348660200645                    1007       0.107334863662527    0.000107355590237836   7.24244075696786E-005        14.5825571302112 
