VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.11387979984283                       0                       0                       0                       0                       0       -4383.06591796875                       0   1.83924767043209E-005      0.0398787371814251        297.824340820313               301809.25      0.0745586976408958                    1007       0.100858703255653               7796141.5                       0   6.66363775962964E-005        8.45180892944336 
    0.00400200100050025                    0.15                       0        1.11370830311663                       0                       0                       0                       0                       0       -4393.22153044296       -1023.46129265805    1.8393155303842E-005       0.038169478588533        298.316941429699        301736.538097174      0.0733220820250423                    1007      0.0996220854072347        9444194.11205603                       0   6.55311597256969E-005         8.3038046470936 
     0.0080040020010005                    0.15                       0        1.11353680639043                       0                       0                       0                       0                       0       -4403.37714291716        -2046.9225853161    1.8393833903363E-005      0.0364602199956409        298.809542039086        301663.826194347      0.0720854664091887                    1007      0.0983854675588159        11092246.7241121                       0   6.44259418550974E-005        8.15580036474383 
     0.0120060030015008                    0.15                       0        1.11336530966422                       0                       0                       0                       0                       0       -4413.53275539137       -3070.38387797416   1.83945125028841E-005      0.0347509614027489        299.302142648473        301591.114291521      0.0708488507933352                    1007      0.0971488497103972        12740299.3361681                       0   6.33207239844979E-005        8.00779608239407 
      0.016008004002001                    0.15                       0        1.11319296064229                       0                       0                       0                       0                       0       -4424.27020175127       -3482.03292429907   1.83951156011507E-005      0.0327604256128671          299.4765770947        301574.537721986      0.0693731839810985                    1007      0.0956731821452754        12725374.0595298                       0    6.2001855626115E-005        7.83191879395546 
     0.0200100050025013                    0.15                       0        1.11302017795855                       0                       0                       0                       0                       0        -4435.3036945719       -3582.38203672149   1.83956802831618E-005      0.0306267714507136        299.489123467984        301586.523714982        0.06777588406642                    1007      0.0940758822305969        11864298.8244122                       0   6.05742784553084E-005        7.64185927068072 
     0.0240120060030015                    0.15                       0         1.1128473952748                       0                       0                       0                       0                       0       -4446.33718739252       -3682.73114914391   1.83962449651729E-005        0.02849311728856        299.501669841268        301598.509707979      0.0661785841517415                    1007      0.0924785823159184        11003223.5892946                       0   5.91467012845018E-005        7.45179974740597 
     0.0280140070035018                    0.15                       0        1.11272684880171                       0                       0                       0                       0                       0       -4454.35090738729       -3758.90171660537   1.83965919280747E-005      0.0268434281076578        299.509405459566        301605.874327789      0.0649176544140374                    1007      0.0912176525782143        10336268.5617809                       0   5.80197525052973E-005        7.30235938992483 
      0.032016008004002                    0.15                       0        1.11271452504197                       0                       0                       0                       0                       0       -4456.10827752744       -3784.97929860927   1.83964878216421E-005      0.0261964150930402        299.507174180352         301603.66441033      0.0643536146840135                    1007      0.0906536128481905        10071490.7848924                       0     5.751564408613E-005        7.23707361183147 
     0.0360180090045022                    0.15                       0        1.11270220128222                       0                       0                       0                       0                       0       -4457.86564766758       -3811.05688061316   1.83963837152096E-005      0.0255494020784226        299.504942901138        301601.454492871      0.0637895749539897                    1007      0.0900895731181666        9806713.00800399                       0   5.70115356669626E-005        7.17178783373811 
     0.0400200100050025                    0.15                       0        1.11268987752247                       0                       0                       0                       0                       0       -4459.62301780773       -3837.13446261705    1.8396279608777E-005       0.024902389063805        299.502711621924        301599.244575413      0.0632255352239659                    1007      0.0895255333881428        9541935.23111555                       0   5.65074272477953E-005        7.10650205564475 
     0.0440220110055028                    0.15                       0        1.11266671555707                       0                       0                       0                       0                       0       -4461.27873165098       -3852.72069543072   1.83963295677441E-005      0.0245179074204686        299.503761035791        301600.301541396      0.0628683569469769                    1007      0.0891683551111539        9383267.90145072                       0   5.61882016177253E-005         7.0658507070403 
      0.048024012006003                    0.15                       0         1.1126434254372                       0                       0                       0                       0                       0       -4462.93324347721       -3868.18287512897   1.83963813484304E-005      0.0241365300332116        299.504849241637        301601.397136068      0.0625136246668988                    1007      0.0888136228310758        9225855.25612806                       0   5.58711621017156E-005        7.02549064391968 
     0.0520260130065033                    0.15                       0        1.11262013531733                       0                       0                       0                       0                       0       -4464.58775530343       -3883.64505482722   1.83964331291168E-005      0.0237551526459546        299.505937447483         301602.49273074      0.0621588923868207                    1007      0.0884588905509977        9068442.61080539                       0   5.55541225857059E-005        6.98513058079905 
     0.0560280140070035                    0.15                       0        1.11259724057395                       0                       0                       0                       0                       0       -4466.06307841421       -3896.45565116543   1.83965062026256E-005      0.0234378942042932        299.507478150086        301604.045585293      0.0618571812559987                    1007      0.0881571794201756        8937325.21310655                       0   5.52844702460202E-005         6.9509434144219 
     0.0600300150075038                    0.15                       0        1.11257455771181                       0                       0                       0                       0                       0       -4467.44237475183       -3907.84527077992   1.83965906869033E-005      0.0231549969411689        299.509261344539        301605.843484242      0.0615838840231113                    1007      0.0878838821872882        8820299.37118559                       0   5.50402125726209E-005        6.92006428758164 
      0.064032016008004                    0.15                       0        1.11255187484966                       0                       0                       0                       0                       0       -4468.82167108945       -3919.23489039442    1.8396675171181E-005      0.0228720996780447        299.511044538993        301607.641383192      0.0613105867902239                    1007      0.0876105849544008        8703273.52926463                       0   5.47959548992216E-005        6.88918516074138 
     0.0680340170085043                    0.15                       0        1.11253025705901                       0                       0                       0                       0                       0       -4470.11050227262       -3929.85303051917   1.83967594843882E-005      0.0226072219180399        299.512824863359        301609.433404202      0.0610528140253815                    1007      0.0873528125399109        8593713.23411705                       0   5.45655724151159E-005        6.86008122779537 
