VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.11799907684326                       0                       0                       0                       0                       0       -4010.57885742188                       0   1.83952706720447E-005      0.0365194119513035        298.016998291016            301838.90625      0.0724164098501205                    1007      0.0987164080142975               7064581.5                       0   6.47217166260816E-005        8.21011638641357 
    0.00400200100050025                    0.15                       0        1.11784004676098                       0                       0                       0                       0                       0       -4020.19610977364       -946.143956377606   1.83958686027071E-005      0.0349316462061893        298.467881294773        301773.367214857      0.0711946385600914                    1007      0.0974946367242683        8548052.94397199                       0   6.36297655123842E-005        8.06386800764083 
     0.0080040020010005                    0.15                       0        1.11768101667869                       0                       0                       0                       0                       0        -4029.8133621254       -1892.28791275521   1.83964665333694E-005      0.0333438804610751        298.918764298531        301707.828179715      0.0699728672700622                    1007      0.0962728654342392         10031524.387944                       0   6.25378143986868E-005        7.91761962886808 
     0.0120060030015008                    0.15                       0         1.1175219865964                       0                       0                       0                       0                       0       -4039.43061447716       -2838.43186913282   1.83970644640318E-005      0.0317561147159609        299.369647302289        301642.289144572      0.0687510959800331                    1007        0.09505109414421         11514995.831916                       0   6.14458632849894E-005        7.77137125009534 
      0.016008004002001                    0.15                       0         1.1173620805435                       0                       0                       0                       0                       0       -4049.56327467933       -3217.46388868262   1.83975970084402E-005      0.0299111280428164        299.529049711623        301627.212950225      0.0672961315470913                    1007      0.0935961297112682        11491581.2871436                       0    6.0145497641322E-005        7.59792905023182 
     0.0200100050025013                    0.15                       0        1.11720172878263                       0                       0                       0                       0                       0       -4059.95818270463       -3307.94021241578   1.83980962832686E-005      0.0279352632148555        299.540142095584        301637.813062781      0.0657225146837506                    1007      0.0920225128479275        10701438.8589294                       0   5.87390873249745E-005        7.41065019580827 
     0.0240120060030015                    0.15                       0        1.11704137702177                       0                       0                       0                       0                       0       -4070.35309072994       -3398.41653614894   1.83985955580969E-005      0.0259593983868946        299.551234479544        301648.413175338      0.0641488978204099                    1007      0.0904488959845869        9911296.43071534                       0   5.73326770086271E-005        7.22337134138472 
     0.0280140070035018                    0.15                       0        1.11692940073648                       0                       0                       0                       0                       0       -4077.88774294374       -3466.96043737201   1.83989033749636E-005       0.024434167357826        299.558099591177        301654.949771761      0.0629084281615909                    1007      0.0892084266891653        9300304.66783391                       0   5.62240152296477E-005        7.07632730029833 
      0.032016008004002                    0.15                       0        1.11691764851342                       0                       0                       0                       0                       0       -4079.49653183525       -3490.06485811265    1.8398814530207E-005      0.0238425571223597         299.55620666168        301653.067596298      0.0623581711726525                    1007      0.0886581708165095        9060476.33466733                       0    5.5732227343472E-005        7.01264153915146 
     0.0360180090045022                    0.15                       0        1.11690589629035                       0                       0                       0                       0                       0       -4081.10532072677       -3513.16927885329   1.83987256854504E-005      0.0232509468868934        299.554313732183        301651.185420835      0.0618079141837141                    1007      0.0881079149438537        8820648.00150074                       0   5.52404394572962E-005        6.94895577800459 
     0.0400200100050025                    0.15                       0        1.11689414406729                       0                       0                       0                       0                       0       -4082.71410961829       -3536.27369959394   1.83986368406939E-005      0.0226593366514271        299.552420802687        301649.303245373      0.0612576571947756                    1007      0.0875576590711978        8580819.66833416                       0   5.47486515711205E-005        6.88527001685772 
     0.0440220110055028                    0.15                       0         1.1168722597106                       0                       0                       0                       0                       0        -4084.2860246041       -3550.15581191475   1.83986821297992E-005       0.022307692718072        299.553374755615        301650.262240495      0.0609089959060597                    1007      0.0872089977955269        8437046.51875938                       0   5.44370372442389E-005        6.84560666196402 
      0.048024012006003                    0.15                       0        1.11685025554827                       0                       0                       0                       0                       0       -4085.85750358089       -3563.92887666978   1.83987290049469E-005         0.0219588862241        299.554362371005         301651.25483054      0.0605627183502856                    1007      0.0868627202397528        8294409.15682841                       0   5.41275533479571E-005        6.80622735579292 
