VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.11566162109375                       0                       0                       0                       0                       0       -4362.97119140625                       0    1.8372766135144E-005     0.00994710344821215        297.628082275391            301600.09375     0.00501327589154243                    1007      0.0313132777810097             2066014.625                       0    4.4805842662754E-006        9.10018348693848 
    0.00400200100050025                    0.15                       0        1.11532459305548                       0                       0                       0                       0                       0       -4374.86837217437       -1072.94550571184   1.83752919425181E-005     0.00967387961090476        298.097053272119        301503.906156203     0.00547546125424764                    1007      0.0317754623065029        3288354.69334668                       0   4.89365964980941E-006        8.96526939502771 
     0.0080040020010005                    0.15                       0        1.11498756501721                       0                       0                       0                       0                       0       -4386.76555294249       -2145.89101142369   1.83778177498921E-005     0.00940065577359737        298.566024268848        301407.718562406     0.00593764661695285                    1007      0.0322376468319962        4510694.76169336                       0   5.30673503334342E-006        8.83035530311695 
     0.0120060030015008                    0.15                       0        1.11465053697894                       0                       0                       0                       0                       0       -4398.66273371061       -3218.83651713553   1.83803435572662E-005     0.00912743193628998        299.034995265577        301311.530968609     0.00639983197965806                    1007      0.0326998313574895        5733034.83004003                       0   5.71981041687743E-006        8.69544121120619 
      0.016008004002001                    0.15                       0        1.11427996163371                       0                       0                       0                       0                       0       -4411.52207378103       -3650.88710065482   1.83831547521573E-005     0.00877539932018722        299.232783185416        301320.675478364     0.00686703567738352                    1007      0.0331670349578431        6553296.34192097                       0   6.13737071942978E-006        8.51937515631862 
     0.0200100050025013                    0.15                       0        1.11389231687787                       0                       0                       0                       0                       0       -4424.87097601535       -3756.84001595525   1.83861111568178E-005     0.00838326752696441        299.292588784016        301383.414660455     0.00733679278486741                    1007      0.0336367923443976        7168973.80240121                       0   6.55721302107963E-006        8.32237031926149 
     0.0240120060030015                    0.15                       0        1.11350467212204                       0                       0                       0                       0                       0       -4438.21987824967       -3862.79293125567   1.83890675614784E-005      0.0079911357337416        299.352394382616        301446.153842546      0.0078065498923513                    1007      0.0341065497309521        7784651.26288146                       0   6.97705532272948E-006        8.12536548220437 
     0.0280140070035018                    0.15                       0        1.11321855772132                       0                       0                       0                       0                       0       -4448.05592908759       -3942.51503828086   1.83912526336462E-005     0.00766751790636327        299.396752575507        301492.523120935     0.00811459411172315                    1007      0.0344145941385452        8187919.63256628                       0   7.25236784559235E-006        7.96119415026536 
      0.032016008004002                    0.15                       0        1.11314279338966                       0                       0                       0                       0                       0       -4450.61407241707       -3967.89229123839   1.83918396631115E-005     0.00748584696206787        299.409106912465        301504.977316783     0.00808760239880135                    1007      0.0343876024256234        8151119.93721861                       0   7.22824431394273E-006        7.86504710585311 
     0.0360180090045022                    0.15                       0        1.11306702905801                       0                       0                       0                       0                       0       -4453.17221574655       -3993.26954419593   1.83924266925767E-005     0.00730417601777246        299.421461249424        301517.431512631     0.00806061068587955                    1007      0.0343606107127016        8114320.24187093                       0   7.20412078229312E-006        7.76890006144086 
