VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11182796657085                       0                       0                       0                       0                       0       -4500.42352294922       -4404.02258911133   1.84012205863837E-005      0.0024287257459946        299.606888198853        301704.141015625    0.000135991349452524                    1007      0.0264359913999215   2.49999993684469E-005   1.21541417286153E-007        4.45958662629127 
                    7.9                    0.15   1.00033344448149E-006        1.11183551622753       0.403010637690906    4.2167516365385E-007   2.51804437814254E-007       0.403010637690906      0.0011631971639406       -4500.42352294922       -4400.88735458003   1.84011241659951E-005     0.00238013486018829         299.60396058724        301706.639973611    0.000551961251859572                    1007      0.0268519612834047   2.55228215031263E-005   4.93311933971861E-007        4.37036504063577 
                    7.9                    0.15   2.00066688896299E-006         1.1118430658842       0.806021275381812   8.43350327307699E-007   5.03608875628508E-007       0.806021275381812      0.0023263943278812       -4500.42352294922       -4397.75212004873   1.84010277456065E-005     0.00233154397438198        299.601032975627        301709.138931597    0.000967931154266619                    1007       0.027267931166888   2.60456436378056E-005   8.65082450657568E-007        4.28114345498026 
                    7.9                    0.15   3.00100033344448E-006        1.11185061554088        1.20903191307272   1.26502549096155E-006   7.55413313442762E-007        1.20903191307272     0.00348959149182181       -4500.42352294922       -4394.61688551742   1.84009313252178E-005     0.00228295308857568        299.598105364014        301711.637889583     0.00138390105667367                    1007      0.0276839010503712    2.6568465772485E-005   1.23685296734328E-006        4.19192186932476 
                    7.9                    0.15   4.00133377792597E-006        1.11185816519755        1.61204255076362    1.6867006546154E-006   1.00721775125702E-006        1.61204255076362     0.00465278865576241       -4500.42352294922       -4391.48165098612   1.84008349048292E-005     0.00223436220276937        299.595177752402        301714.136847569     0.00179987095908071                    1007      0.0280998709338545   2.70912879071644E-005   1.60862348402898E-006        4.10270028366925 
                    7.9                    0.15   5.00166722240747E-006        1.11186571485422        2.01505318845453   2.10837581826925E-006   1.25902218907127E-006        2.01505318845453     0.00581598581970301       -4500.42352294922       -4388.34641645482   1.84007384844406E-005     0.00218577131696306        299.592250140789        301716.635805555     0.00221584086148776                    1007      0.0285158408173377   2.76141100418438E-005   1.98039400071469E-006        4.01347869801374 
                    7.9                    0.15   6.00200066688896E-006         1.1118732645109        2.41806382614544    2.5300509819231E-006   1.51082662688552E-006        2.41806382614544     0.00697918298364361       -4500.42352294922       -4385.21118192352    1.8400642064052E-005     0.00213718043115676        299.589322529176        301719.134763541     0.00263181076389481                    1007       0.028931810700821   2.81369321765232E-005    2.3521645174004E-006        3.92425711235824 
                    7.9                    0.15   7.00233411137046E-006        1.11188081416757        2.82107446383634   2.95172614557695E-006   1.76263106469978E-006        2.82107446383634     0.00814238014758422       -4500.42352294922       -4382.07594739222   1.84005456436634E-005     0.00208858954535045        299.586394917564        301721.633721527     0.00304778066630186                    1007      0.0293477805843042   2.86597543112025E-005   2.72393503408611E-006        3.83503552670273 
                    7.9                    0.15   8.00266755585195E-006        1.11188836382424        3.22408510152725    3.3734013092308E-006   2.01443550251403E-006        3.22408510152725     0.00930557731152482       -4500.42352294922       -4378.94071286092   1.84004492232747E-005     0.00203999865954414        299.583467305951        301724.132679513      0.0034637505687089                    1007      0.0297637504677875   2.91825764458819E-005   3.09570555077181E-006        3.74581394104722 
                    7.9                    0.15   9.00300100033344E-006        1.11189591348092        3.62709573921816   3.79507647288464E-006   2.26623994032829E-006        3.62709573921816      0.0104687744754654       -4500.42352294922       -4375.80547832962   1.84003528028861E-005     0.00199140777373783        299.580539694338        301726.631637499     0.00387972047111595                    1007      0.0301797203512707   2.97053985805613E-005   3.46747606745752E-006        3.65659235539172 
