VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.12024164199829                       0                       0                       0                       0                       0       -4072.07763671875                       0   1.83577285497449E-005      0.0123801780864596        297.594177246094              301440.625     0.00685334950685501                    1007      0.0331533513963223   2.49999993684469E-005   6.12513849773677E-006        8.83442878723145 
    0.00400200100050025                    0.15                       0        1.11987782317797                       0                       0                       0                       0                       0       -4081.52216611235       -886.831141278651    1.8360944402897E-005      0.0116646682979607        297.985035181165        301311.260552151     0.00612274562430313                    1007      0.0324227472346997   2.49999993684469E-005   5.47216591965379E-006        8.65125813849155 
     0.0080040020010005                    0.15                       0        1.11951400435764                       0                       0                       0                       0                       0       -4090.96669550596        -1773.6622825573   1.83641602560492E-005      0.0109491585094618        298.375893116236        301181.896104302     0.00539214174175125                    1007      0.0316921430730772   2.49999993684469E-005    4.8191933415708E-006        8.46808748975165 
     0.0120060030015008                    0.15                       0        1.11915018553731                       0                       0                       0                       0                       0       -4100.41122489956       -2660.49342383595   1.83673761092013E-005      0.0102336487209628        298.766751051307        301052.531656453     0.00466153785919936                    1007      0.0309615389114547   2.49999993684469E-005   4.16622076348782E-006        8.28491684101175 
      0.016008004002001                    0.15                       0        1.11873631801767                       0                       0                       0                       0                       0        -4110.3611739952       -3049.39995021925    1.8371153344887E-005     0.00941914232334064        298.958755134403        301066.028373562     0.00388770630198104                    1007      0.0301877070058057   2.49999993684469E-005   3.47461360192134E-006        8.05683210123891 
     0.0200100050025013                    0.15                       0        1.11829698491299                       0                       0                       0                       0                       0       -4120.56828878306        -3184.9544055475   1.83752162210558E-005     0.00855426485508142         299.04957917191        301152.215154452     0.00309187980702312                    1007      0.0293918801271256   2.49999993684469E-005   2.76334854145393E-006        7.80589434789263 
     0.0240120060030015                    0.15                       0        1.11785765180831                       0                       0                       0                       0                       0       -4130.77540357093       -3320.50886087575   1.83792790972245E-005      0.0076893873868222        299.140403209417        301238.401935343      0.0022960533120652                    1007      0.0285960532484456   2.49999993684469E-005   2.05208348098653E-006        7.55495659454635 
     0.0280140070035018                    0.15                       0        1.11752240737717                       0                       0                       0                       0                       0       -4138.20471221939       -3425.27998569597    1.8382433302196E-005     0.00703209579077592        299.210415373092        301305.316736493     0.00172699141271157                    1007      0.0280269911357124   2.49999993684469E-005   1.54348789607823E-006        7.35123335188063 
      0.032016008004002                    0.15                       0        1.11740281332607                       0                       0                       0                       0                       0       -4139.87897635341        -3466.2743642329   1.83837049268407E-005     0.00680487954023742        299.237309603288        301332.303948849     0.00162773923963548                    1007      0.0279277391021716   2.49999993684469E-005   1.45478189130261E-006        7.24532889031719 
     0.0360180090045022                    0.15                       0        1.11728321927497                       0                       0                       0                       0                       0       -4141.55324048743       -3507.26874276982   1.83849765514855E-005     0.00657766328969892        299.264203833484        301359.291161206      0.0015284870665594                    1007      0.0278284870686309   2.49999993684469E-005   1.36607588652698E-006        7.13942442875376 
     0.0400200100050025                    0.15                       0        1.11716362522387                       0                       0                       0                       0                       0       -4143.22750462145       -3548.26312130675   1.83862481761302E-005     0.00635044703916042         299.29109806368        301386.278373562     0.00142923489348332                    1007      0.0277292350350901   2.49999993684469E-005   1.27736988175136E-006        7.03351996719032 
     0.0440220110055027                    0.15                       0        1.11708869022867                       0                       0                       0                       0                       0       -4144.87602932326       -3571.27243309155   1.83869563308168E-005     0.00621887307177079        299.306053463133        301401.317862056     0.00137193005289994                    1007      0.0276719302995659   2.49999993684469E-005   1.22615402204004E-006        6.96786245863219 
      0.048024012006003                    0.15                       0        1.11701428329664                       0                       0                       0                       0                       0       -4146.52424967367       -3594.06908361407   1.83876578228518E-005     0.00608843000975622        299.320867693979        301416.216076788      0.0013151212111805                    1007      0.0276151215624979   2.49999993684469E-005   1.17538145796293E-006        6.90268084309946 
     0.0520260130065033                    0.15                       0        1.11693987636461                       0                       0                       0                       0                       0       -4148.17247002407        -3616.8657341366   1.83883593148869E-005     0.00595798694774165        299.335681924825        301431.114291521     0.00125831236946105                    1007        0.02755831282543   2.49999993684469E-005   1.12460889388582E-006        6.83749922756674 
     0.0560280140070035                    0.15                       0        1.11687954018389                       0                       0                       0                       0                       0       -4149.60006248241       -3634.96723068566   1.83889149510882E-005     0.00585269589879069        299.347406079138        301442.909235868     0.00121283553377178                    1007      0.0275128359126934   2.49999993684469E-005   1.08396426079882E-006         6.7835188603747 
     0.0600300150075038                    0.15                       0        1.11682674448272                       0                       0                       0                       0                       0        -4150.9094210191       -3650.55260625919   1.83893924235224E-005     0.00576088374914818        299.357474269361        301453.041145573     0.00117343149105764                    1007      0.0274734316955601   2.49999993684469E-005   1.04874715996037E-006         6.7355412134473 
      0.064032016008004                    0.15                       0        1.11677394878155                       0                       0                       0                       0                       0       -4152.21877955579       -3666.13798183271   1.83898698959565E-005     0.00566907159950567        299.367542459584        301463.173055278     0.00113402744834351                    1007      0.0274340274784269   2.49999993684469E-005   1.01353005912192E-006        6.68756356651989 
     0.0680340170085043                    0.15                       0        1.11672518914076                       0                       0                       0                       0                       0       -4153.44267837043        -3680.4724355586   1.83903087064487E-005     0.00558407384908761        299.376798415077        301472.484992496     0.00109776024262431                    1007      0.0273977601420826   2.49999993684469E-005   9.81116478317794E-007        6.64274202912613 
     0.0720360180090045                    0.15                       0        1.11668525301498                       0                       0                       0                       0                       0       -4154.47974768634       -3692.07216120267   1.83906629953553E-005     0.00551397353527194        299.384278687195         301480.00433029     0.00106835069650576                    1007      0.0273683505610802   2.49999993684469E-005    9.5483186950359E-007        6.60482028438306 
     0.0760380190095048                    0.15                       0        1.11664531688919                       0                       0                       0                       0                       0       -4155.51681700225       -3703.67188684675   1.83910172842619E-005     0.00544387322145627        299.391758959314        301487.523668084     0.00103894115038721                    1007      0.0273389409800778   2.49999993684469E-005   9.28547260689385E-007           6.56689853964 
