VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Turbulent Kinetic Energy"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0         1.1376482265247        14205.2065896606   1.00000000362749E-015       -4496.39091998126        96828.6101725619       -4496.39091998126        296.455560679779        296.455560679779         27.113294277244                       0     0.00129281791607771  -5.19461918482728E-009       0.636054036218544        9.14079979787843  -3.36944497831458E-005                       0                       0                       0                       0   1.83100000867853E-005    0.000168813357566517      0.0635356516768442        14209.0101079838    -0.00316686000243682        88.0601959184117        22.4870370595882        8993.76213324146        8726.76213391697                       1                       1                       1 
                    7.9                    0.15    0.000233488992661774        1.13765301398227         14205.199073809      0.0622014995358604       -4496.39069196476        96828.6101725619       -3934.71443224005        296.454310212975         296.94586083398         28.684245682155                       0    0.000689098834550385  -2.76738089793333E-009       0.339031369142738        4.87223770312638  -1.79157164832197E-005                       0        21.4733723316102  -8.17035684899429E-005   3.40260110879929E-005   1.83100000867853E-005    0.000422914092175919      0.0635356516768442        14209.0101079838    -0.00316686000243682        46.9379746069502        11.9860742231266         17165.876488249        12688.1361952615                       1                       1                       1 
                    7.9                    0.15    0.000466977985323549        1.13765780143983        14205.1876881949        0.12440263592657       -4496.39046394818        96828.6101725619       -3373.04474078094        296.453058738417         297.43615494167        30.2551901589464                       0   8.53865074085858E-005  -3.46312875735288E-010      0.0420063814804017       0.603717808014825  -2.32293115285354E-006                       0        42.9466194499855   -0.000162644237094142   6.60223462749047E-005   1.83100000867853E-005    0.000677014016610849      0.0635356516768442        14209.0101079838    -0.00316686000243682        5.81596542741275        1.48516221518183        25337.9908432565         16649.510256606                       1                       1                       1 
                    7.9                    0.15    0.000700466977985324        1.13765874596915        11563.3787025163       0.138375199762333       -4496.39030711458        96828.6101725619       -3195.28197259057        296.452813915655        297.591474585493        29.6980187082862                       0                       0                       0                       0                       0                       0                       0        47.7702615617653   -0.000183618614838765    0.000134001492842527   1.83100000867853E-005    0.000930489420343005      0.0533144672515052        11566.4397359411    -0.00453306654763255                       0                       0        33037.2916224497        23553.6204947117                       1                       1                       1 
                    7.9                    0.15    0.000933955970647098        1.13765905746982        8486.47111340401       0.144402887263288       -4496.39010592695        96828.6101725619       -3080.76852902747        296.452734171483        297.691607399938        28.7903391244316                       0                       0                       0                       0                       0                       0                       0        49.8511514773809   -0.000195773080662154    0.000215936647184382   1.83100000867853E-005     0.00118385817027635      0.0417560024494127        8488.64519560976    -0.00588719853375839                       0                       0        40658.7079037818        30942.4747020877                       1                       1                       1 
                    7.9                    0.15     0.00116744496330887        1.13765935717008        6565.27114489864       0.149129196160165       -4496.39000362934        96828.6101725619       -2987.72087751487        296.452657448216        297.772960780429        28.1965869375514                       0                       0                       0                       0                       0                       0                       0        51.4827734381256   -0.000203950434033104    0.000284042269933959   1.83100000867853E-005     0.00145070609987036      0.0340191739338036        6566.90545936669    -0.00731604865930166                       0                       0        47991.4063409964        38051.4210841324                       1                       1                       1 
                    7.9                    0.15     0.00140093395597065         1.1376596476889         5543.4264997639       0.152842641240229       -4496.39000140957        96828.6101725619       -2911.38784430288        296.452583075398        297.839685871204        27.8472116547642                       0                       0                       0                       0                       0                       0                       0        52.7647310663776   -0.000211299508010945    0.000350143270073691   1.83100000867853E-005     0.00172803437783588      0.0281191306240627        5544.78659831152    -0.00812570463638173                       0                       0        55099.4644759005        44942.5819022343                       1                       1                       1 
                    7.9                    0.15     0.00163442294863242        1.13765993397664        4574.69010283763       0.156442608111274       -4496.38992484435        96828.6101725619       -2837.10467024512        296.452509205279        297.904620265043        27.5140442234583                       0                       0                       0                       0                       0                       0                       0         54.007513332907   -0.000218237638793144    0.000419660738419964   1.83100000867853E-005     0.00200609633058121      0.0234437483494404        4575.79235700719    -0.00917290801695414                       0                       0        62159.4779173649        51787.1640763992                       1                       1                       1 
                    7.9                    0.15      0.0018679119412942        1.13766019304962        4081.98821829088       0.159025094334113       -4496.38973986667        96828.6101725619       -2781.22398274468        296.452439838649         297.95344281142        27.3264021167655                       0                       0                       0                       0                       0                       0                       0        54.8990407296387   -0.000222481207593568    0.000498624999312456   1.83100000867853E-005     0.00229071419352016      0.0206062600101677        4082.96175702858     -0.0102579375285121                       0                       0        68789.0779633467        58214.4666124065                       1                       1                       1 
                    7.9                    0.15     0.00210140093395597        1.13766046203185        3589.29408610674       0.161607527294736       -4496.38955488899        96828.6101725619       -2725.34548701168        296.452370472019        298.002265357796        27.1387771332558                       0                       0                       0                       0                       0                       0                       0        55.7905500518992   -0.000226927467237991    0.000578129839280538   1.83100000867853E-005     0.00257533300480525      0.0177940493922334        3590.13919353059     -0.0113527812227168                       0                       0        75418.6780093285        64641.7691484138                       1                       1                       1 
                    7.9                    0.15     0.00233488992661775        1.13766074153072          3197.465335452       0.163892606686767       -4496.38937564501        96828.6101725619       -2675.15513347906        296.452295803082        298.046114147109        26.9816199504825                       0                       0                       0                       0                       0                       0                       0        56.5794036923636   -0.000230688133517505    0.000655347475216279   1.83100000867853E-005     0.00286028985147539      0.0153236891921392        3198.20749931756     -0.0122429484700185                       0                       0        81842.7822631547        70869.8464495803                       1                       1                       1 
                    7.9                    0.15     0.00256837891927952        1.13766100762715        2923.71785998544       0.165829449404544        -4496.3892031119        96828.6101725619       -2631.63102790952        296.452219179589        298.084137271619        26.8601912993618                       0                       0                       0                       0                       0                       0                       0        57.2480359308974   -0.000234181080741409    0.000731106517396606   1.83100000867853E-005     0.00314564844581186      0.0134701380555166        2924.38573246039     -0.0129589352150733                       0                       0        88026.3689479746        76864.7454035606                       1                       1                       1 
