VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Aspect Ratio"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.13731369248265        59982.6583356449   1.00000000362749E-015       -4495.93556202429        96829.0636872858       -4495.93556202429        296.544147102018        296.544147102018        267.114624023438                       0      0.0011022055457513  -1.57297133732178E-008       0.529819527679463         9.3562096907809   -0.000129696840854152  -8.93556978162929E-013                       0                       0                       0   1.83100000867853E-005   8.30755903701596E-005       0.818931592754701        60040.1258632803      0.0019045777807525        8.90790312666622        11.0642499923706        10792.5120656799        10475.5120663554                       1                       1                       1 
                    7.9                    0.15   1.00033344448149E-006        1.13731408481197        59982.6626730247     0.00207910063968254       -4495.93556202429        96829.0636872858       -4481.28820956558        296.544044834047        296.556867100691        267.114624023437                       0     0.00108015405289505  -1.54149875031379E-008       0.519219620010851        9.16902284192551   -0.000127101826173514  -8.75088077990135E-013        0.71785712577681  -9.90653832555978E-006  -7.25280632710909E-008   1.83100000867853E-005   8.41925115801566E-005       0.818931592754701        60040.1258632803      0.0019045777807525        8.72968553186072        10.8428912167751        11212.6520924065        10679.2399659819                       1                       1                       1 
                    7.9                    0.15   2.00066688896299E-006        1.13731447714129        59982.6670104078     0.00415820127934018       -4495.93556202429        96829.0636872858       -4466.64085710711        296.543942566076        296.569587099364        267.114624023438                       0      0.0010581025600378  -1.51002622088071E-008       0.508619712342249        8.98183599306947   -0.000124506815812732  -8.56618688532472E-013        1.43571425154589  -1.98130603726013E-005  -1.45063922712704E-007   1.83100000867853E-005   8.53094327900995E-005       0.818931592754701        60040.1258632803      0.0019045777807525        8.55146793705489        10.6215324411797        11632.7921191332        10882.9678656085                       1                       1                       1 
                    7.9                    0.15   3.00100033344448E-006        1.13731486947061        59982.6713477909     0.00623730191899782       -4495.93556202429        96829.0636872858       -4451.99350464865        296.543840298104        296.582307098037        267.114624023438                       0     0.00103605106718054  -1.47855369144762E-008       0.498019804673647        8.79464914421344    -0.00012191180545195  -8.38149299074809E-013        2.15357137731497  -2.97195824196428E-005  -2.17599782154317E-007   1.83100000867853E-005   8.64263540000425E-005       0.818931592754701        60040.1258632803      0.0019045777807525        8.37325034224906        10.4001736655842        12052.9321458598         11086.695765235                       1                       1                       1 
                    7.9                    0.15   4.00133377792597E-006        1.13731526179993         59982.675685174     0.00831640255865546       -4495.93556202429        96829.0636872858       -4437.34615219018        296.543738030133         296.59502709671        267.114624023437                       0     0.00101399957432329  -1.44708116201454E-008       0.487419897005045         8.6074622953574   -0.000119316795091169  -8.19679909617145E-013        2.87142850308405  -3.96261044666843E-005  -2.90135641595929E-007   1.83100000867853E-005   8.75432752099854E-005       0.818931592754701        60040.1258632803      0.0019045777807525        8.19503274744323        10.1788148899887        12473.0721725864        11290.4236648616                       1                       1                       1 
                    7.9                    0.15   5.00166722240747E-006        1.13731565412926        59982.6800225571      0.0103955031983131       -4495.93556202429        96829.0636872858       -4422.69879973172        296.543635762162        296.607747095383        267.114624023438                       0    0.000991948081466038  -1.41560863258145E-008       0.476819989336443        8.42027544650136   -0.000116721784730387  -8.01210520159482E-013        3.58928562885313  -4.95326265137258E-005  -3.62671501037543E-007   1.83100000867853E-005   8.86601964199283E-005       0.818931592754701        60040.1258632803      0.0019045777807525         8.0168151526374        9.95745611439325        12893.2121993131        11494.1515644881                       1                       1                       1 
                    7.9                    0.15   6.00200066688896E-006        1.13731604645858        59982.6843599401      0.0124746038379707       -4495.93556202429        96829.0636872858       -4408.05144727325        296.543533494191        296.620467094055        267.114624023437                       0    0.000969896588608785  -1.38413610314837E-008       0.466220081667841        8.23308859764533   -0.000114126774369605  -7.82741130701819E-013        4.30714275462221  -5.94391485607673E-005  -4.35207360479155E-007   1.83100000867853E-005   8.97771176298712E-005       0.818931592754701        60040.1258632803      0.0019045777807525        7.83859755783157        9.73609733879778        13313.3522260397        11697.8794641146                       1                       1                       1 
                    7.9                    0.15   7.00233411137046E-006         1.1373164387879        59982.6886973232      0.0145537044776284       -4495.93556202429        96829.0636872858       -4393.40409481479         296.54343122622        296.633187092728        267.114624023437                       0    0.000947845095751532  -1.35266357371528E-008       0.455620173999239        8.04590174878929   -0.000111531764008824  -7.64271741244156E-013        5.02499988039128  -6.93456706078088E-005  -5.07743219920768E-007   1.83100000867853E-005   9.08940388398142E-005       0.818931592754701        60040.1258632803      0.0019045777807525        7.66037996302574        9.51473856320231        13733.4922527664        11901.6073637412                       1                       1                       1 
                    7.9                    0.15   8.00266755585195E-006        1.13731683111722        59982.6930347063       0.016632805117286       -4495.93556202429        96829.0636872858       -4378.75674235633        296.543328958248        296.645907091401        267.114624023437                       0    0.000925793602894279   -1.3211910442822E-008       0.445020266330637        7.85871489993325   -0.000108936753648042  -7.45802351786492E-013        5.74285700616036  -7.92521926548502E-005  -5.80279079362381E-007   1.83100000867853E-005   9.20109600497571E-005       0.818931592754701        60040.1258632803      0.0019045777807525        7.48216236821991        9.29337978760684         14153.632279493        12105.3352633677                       1                       1                       1 
                    7.9                    0.15   9.00300100033344E-006        1.13731722344654        59982.6973720894      0.0187119057569436       -4495.93556202429        96829.0636872858       -4364.10938989786        296.543226690277        296.658627090074        267.114624023437                       0    0.000903742110037027  -1.28971851484911E-008       0.434420358662035        7.67152805107722    -0.00010634174328726  -7.27332962328829E-013        6.46071413192944  -8.91587147018917E-005  -6.52814938803994E-007   1.83100000867853E-005   9.31278812597001E-005       0.818931592754701        60040.1258632803      0.0019045777807525        7.30394477341408        9.07202101201137        14573.7723062197        12309.0631629943                       1                       1                       1 
